"カテゴリ","優先度","領域","現状の仕様やUI","問題点・リスク","改善案","根拠ファイル"
"UXの改善点","高","トップページ導線","LINE査定とオンラインストアのリンクがダミーの#になっている","ユーザーが押しても目的ページに到達できず離脱や不信感につながる","本番URLを設定できる管理項目にする。未設定時は非活性または準備中表示にする","app/page.tsx"
"UXの改善点","中","トップページカード一覧","トップページは買取価格上位32件のみを表示している","全件一覧と誤解される可能性があり目的のカードが見つからないと感じやすい","見出しを高価買取カード例にする。全件検索はカート買取ページへ誘導する","app/page.tsx; app/components/HomeCardSection.tsx"
"UXの改善点","中","トップページカード一覧","ポケモンとワンピースのカテゴリボタンは両方OFFにできる","両方OFFにするとカードが消えた理由が分かりづらい","最低1カテゴリは必ず有効にするか空状態で全カテゴリに戻すボタンを出す","app/components/HomeCardSection.tsx"
"UXの改善点","中","トップページカード一覧","カード画像URLが重複している場合はプレースホルダー表示にしている","画像が登録されているのにユーザーにはNO IMAGEに見える。原因が管理側にも伝わりにくい","管理画面で重複画像の警告を出しユーザー画面ではできるだけ登録画像を表示する","app/components/HomeCardSection.tsx; app/cart/CartForm.tsx"
"UXの改善点","中","トップページバナー","バナーは自動スライドとスワイプに対応している","自動再生の一時停止や現在位置の説明が弱くアクセシビリティ上の負担がある","ページネーションドットにaria-labelを付け一時停止や手動送りの操作を明確にする","app/components/HomeBannerCarousel.tsx"
"UXの改善点","中","カート買取検索","検索は入力に追従するがヒット件数や絞り込み状態の説明が少ない","検索結果が0件の時に検索語かカテゴリか在庫のどれが原因か分かりにくい","検索結果件数と有効カテゴリと検索語を表示し条件クリアを置く","app/cart/CartForm.tsx"
"UXの改善点","中","カート買取検索","型番の分割検索には対応している","検索仕様が画面上からは分かりにくくユーザーが型番の一部検索に気付かない","プレースホルダーに例を入れる。例としてガルーラ 109 244を短く表示する","app/cart/CartForm.tsx"
"UXの改善点","中","カート買取カテゴリ","ポケモンとワンピースの有効化状態で表示カードを切り替える","両方OFFや片方のみONの状態が分かりにくい場合がある","ボタンをチェック付きトグルにし現在の有効カテゴリを明確にする","app/cart/CartForm.tsx"
"UXの改善点","高","カート買取申し込み","リストにない商品はこちらは価格0円で通常カードと同じカート構造に入る","買取合計や明細で無料商品に見え申し込み意図が伝わりにくい","専用リクエスト項目として別表示にし査定後価格確定であることを明記する","app/cart/CartForm.tsx; app/actions/orders.ts"
"UXの改善点","中","カート買取申し込み","数量を変更しても追加ボタンを押すまではカートに入らない","操作は正しいが数量選択と追加の関係がやや伝わりにくい","追加ボタンに選択数量を反映し追加時に短い確認アニメーションを出す","app/cart/CartForm.tsx"
"UXの改善点","中","カート買取申し込み","下部に固定カート導線がある","小さい画面では入力欄や送信ボタンを覆う可能性がある","safe-areaと十分な下余白を常時確保しフォーム末尾でも重ならないようにする","app/cart/CartForm.tsx"
"UXの改善点","中","カート買取画像拡大","表示中カード画像はバックグラウンドで読み込む","次ページや検索後に初めて出る画像は拡大時に待ちが出る可能性がある","表示中に加えて次ページ分を軽く先読みする。通信節約モードでは抑制する","app/cart/CartForm.tsx"
"UXの改善点","高","買取の流れリンク","買取の流れはNotionの仮URLに遷移する","本番導線として未完成でユーザーが正しい説明に到達できない","管理設定または環境変数で正式Notion URLを設定し未設定時は準備中にする","app/cart/CartForm.tsx"
"UXの改善点","中","ログイン前導線","カート買取ページは未ログインでも表示されるが申し込み時にログインが必要になる","購入体験の途中でログイン要求が発生し離脱しやすい","申し込み開始前にログインが必要であることを小さく明示しログイン後にカートを復元する","app/cart/page.tsx; app/cart/CartForm.tsx"
"UXの改善点","高","新規登録フォーム","登録フォームが基本情報から振込先まで1ページに長く並ぶ","スマホでもPCでも入力負荷が大きく途中離脱や入力ミスが起きやすい","基本情報・本人確認・連絡先・振込先のステップ式にして入力進捗を表示する","components/auth/RegisterForm.tsx"
"UXの改善点","中","銀行・支店検索","銀行と支店検索は外部APIとフォールバックリストで動作する","外部API失敗時に候補不足や選択できない印象を与える可能性がある","オフライン時の説明を出し候補がない場合は手入力申請を用意する","components/auth/RegisterForm.tsx"
"UXの改善点","中","マイページ・管理画面","一覧テーブルは横幅が広く横スクロール前提の画面がある","スマホや狭い画面では重要情報と操作が見切れやすい","一定幅以下ではカード型リストや詳細ドロワー表示に切り替える","app/admin/(protected)/orders/AdminOrdersTable.tsx; app/admin/(protected)/users/page.tsx"
"UXの改善点","中","管理画面取引","一覧上のステータスプルダウンで変更できる","保存成功の明示が弱くオペレーターが変更完了を判断しづらい","変更完了トーストと最終保存時刻を表示する","app/admin/(protected)/orders/AdminOrdersTable.tsx"
"UXの改善点","低","管理画面全般","黒背景の管理画面に統一されつつある","一部の白背景領域や古いスタイルが残ると画面の統一感が崩れる","管理画面専用の色トークンと共通カードコンポーネントを定義する","app/admin/(protected)/AdminShell.tsx; app/globals.css"
